ID,Make,Model,Year,Trim,Description,Class,URL,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Gross weight (lbs),Cylinders,Horsepower (HP),Valves,Valve timing,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA mileage (mpg),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Cargo capacity (cu ft)
364,Lexus,RX,2008,RX 400h - 4dr SUV,(3.3L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-400h/2008/oem/2008_lexus_rx-400h_4dr-suv_base_fq_oem_3_400.jpg,SUV,187.2,72.6,66.1,106.9,4190,5520,V6,268,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 27/24 mpg,,55.6,42.5,57.9,,55.1,36.4,57.1,38.3
365,Lexus,RX,2008,RX 400h - 4dr SUV,(3.3L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-400h/2008/oem/2008_lexus_rx-400h_4dr-suv_base_fq_oem_3_400.jpg,SUV,187.2,72.6,66.4,106.9,4365,5520,V6,268,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 26/24 mpg,,55.6,42.5,57.9,,55.1,36.4,57.1,38.3
366,Lexus,RX,2009,RX 350 - 4dr SUV,(3.5L V6 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2009/oem/2009_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,186.2,72.6,66.1,106.9,3870,5269,V6,270,24, Variable, Front wheel drive , 5-speed automatic, Gas, Premium unleaded (required),19.2, 18/23 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
367,Lexus,RX,2009,RX 350 - 4dr SUV,(3.5L V6 AWD 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2009/oem/2009_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,186.2,72.6,66.1,106.9,4090,5269,V6,270,24, Variable, All wheel drive , 5-speed automatic, Gas, Premium unleaded (required),19.2, 17/22 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
368,Lexus,RX,2010,RX 350 - 4dr SUV,(3.5L V6 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2010/oem/2010_lexus_rx-350_4dr-suv_base_fq_oem_2_400.jpg,SUV,187.8,74.2,66.3,107.9,4178,5560,V6,275,24, Variable, Front wheel drive , 6-speed shiftable automatic, Gas, Premium unleaded (recommended),19.2, 18/25 mpg,39.1,55.6,43.1,58,37.7,54.5,36.8,57.6,40
369,Lexus,RX,2010,RX 350 - 4dr SUV,(3.5L V6 AWD 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2010/oem/2010_lexus_rx-350_4dr-suv_base_fq_oem_2_400.jpg,SUV,187.8,74.2,66.3,107.9,4343,5650,V6,275,24, Variable, All wheel drive , 6-speed shiftable automatic, Gas, Premium unleaded (recommended),19.2, 18/24 mpg,39.1,55.6,43.1,58,37.7,54.5,36.8,57.6,40
370,Lexus,RX,2010,RX 450h - 4dr SUV,(3.5L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2010/oem/2010_lexus_rx-450h_4dr-suv_base_fq_oem_3_400.jpg,SUV,187.8,74.2,66.3,107.9,4520,,V6,295,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),19.2, 32/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
371,Lexus,RX,2010,RX 450h - 4dr SUV,(3.5L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2010/oem/2010_lexus_rx-450h_4dr-suv_base_fq_oem_3_400.jpg,SUV,187.8,74.2,66.3,107.9,4652,,V6,295,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),19.2, 30/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
372,Lexus,RX,2011,RX 350 - 4dr SUV,(3.5L V6 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2011/oem/2011_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,67.7,107.9,4178,5557,V6,275,24, Variable, Front wheel drive , 6-speed shiftable automatic, Gas, Premium unleaded (recommended),19.2, 18/25 mpg,39.1,55.6,43.1,58,37.7,54.5,36.8,57.6,40
373,Lexus,RX,2011,RX 350 - 4dr SUV,(3.5L V6 AWD 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2011/oem/2011_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,67.7,107.9,4343,5644,V6,275,24, Variable, All wheel drive , 6-speed shiftable automatic, Gas, Premium unleaded (recommended),19.2, 18/24 mpg,39.1,55.6,43.1,58,37.7,54.5,36.8,57.6,40
374,Lexus,RX,2011,RX 450h - 4dr SUV,(3.5L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2011/oem/2011_lexus_rx-450h_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,66.3,107.9,4520,5765,V6,295,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 32/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
375,Lexus,RX,2011,RX 450h - 4dr SUV,(3.5L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2011/oem/2011_lexus_rx-450h_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,67.7,107.9,4652,5974,V6,295,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 30/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
376,Lexus,RX,2012,RX 350 - 4dr SUV,(3.5L V6 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2012/oem/2012_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,67.7,107.9,4178,5557,V6,270,24, Variable, Front wheel drive , 6-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/25 mpg,39.1,55.6,43.1,58,37.7,54.5,36.8,57.6,40
377,Lexus,RX,2012,RX 350 - 4dr SUV,(3.5L V6 AWD 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2012/oem/2012_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,67.7,107.9,4343,5644,V6,270,24, Variable, All wheel drive , 6-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/24 mpg,39.1,55.6,43.1,58,37.7,54.5,36.8,57.6,40
378,Lexus,RX,2012,RX 450h - 4dr SUV,(3.5L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2012/oem/2012_lexus_rx-450h_4dr-suv_base_fq_oem_3_400.jpg,SUV,187.8,74.2,66.3,107.9,4520,5765,V6,295,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 32/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
379,Lexus,RX,2012,RX 450h - 4dr SUV,(3.5L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2012/oem/2012_lexus_rx-450h_4dr-suv_base_fq_oem_3_400.jpg,SUV,187.8,74.2,67.7,107.9,4652,5974,V6,295,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 30/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
380,Lexus,RX,2013,RX 350 - 4dr SUV,(3.5L V6 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2013/oem/2013_lexus_rx-350_4dr-suv_base_fq_oem_2_400.jpg,SUV,187.8,74.2,66.7,107.9,4178,5560,V6,270,24, Variable, Front wheel drive , 6-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/25 mpg,39.1,55.5,43.1,57.9,37.7,54.5,36.7,57.5,40
381,Lexus,RX,2013,RX 350 - 4dr SUV,(3.5L V6 AWD 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2013/oem/2013_lexus_rx-350_4dr-suv_base_fq_oem_2_400.jpg,SUV,187.8,74.2,66.7,107.9,4343,5650,V6,270,24, Variable, All wheel drive , 6-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/24 mpg,39.1,55.5,43.1,57.9,37.7,54.5,36.7,57.5,40
382,Lexus,RX,2013,RX 350 F Sport - 4dr SUV,(3.5L V6 AWD 8-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2013/oem/2013_lexus_rx-350_4dr-suv_base_fq_oem_2_400.jpg,SUV,187.8,74.2,67.7,107.9,4510,5650,V6,270,24, Variable, All wheel drive , 8-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/26 mpg,39.1,55.5,43.1,57.9,37.7,54.5,36.7,57.5,40
383,Lexus,RX,2013,RX 450h - 4dr SUV,(3.5L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2013/oem/2013_lexus_rx-450h_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,66.7,107.9,4520,5765,V6,295,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 32/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
384,Lexus,RX,2013,RX 450h - 4dr SUV,(3.5L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2013/oem/2013_lexus_rx-450h_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,66.7,107.9,4652,5974,V6,295,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 30/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
385,Lexus,RX,2014,RX 350 - 4dr SUV,(3.5L V6 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2014/oem/2014_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,66.7,107.9,4178,5560,V6,270,24, Variable, Front wheel drive , 6-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/25 mpg,39,55.5,43.1,57.9,37.7,54.5,36.8,57.5,40
386,Lexus,RX,2014,RX 350 - 4dr SUV,(3.5L V6 AWD 6-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2014/oem/2014_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,66.7,107.9,4343,5650,V6,270,24, Variable, All wheel drive , 6-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/24 mpg,39,55.5,43.1,57.9,37.7,54.5,36.8,57.5,40
387,Lexus,RX,2014,RX 350 F Sport - 4dr SUV,(3.5L V6 AWD 8-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2014/oem/2014_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,67.7,107.9,4510,5650,V6,270,24, Variable, All wheel drive , 8-speed shiftable automatic, Gas, Regular unleaded,19.2, 18/26 mpg,39,55.5,43.1,57.9,37.7,54.5,36.8,57.5,40
388,Lexus,RX,2014,RX 450h - 4dr SUV,(3.5L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-450h/2013/oem/2013_lexus_rx-450h_4dr-suv_base_fq_oem_1_400.jpg,SUV,187.8,74.2,66.7,107.9,4520,5765,V6,295,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Premium unleaded (required),17.2, 32/28 mpg,39,55.5,43.1,57.9,37.7,54.5,37.1,57.5,40
